Contest ID,Contest Name,DIV,Date,Time,Participants
2023,Codeforces Round 980 (Div. 1),Div. 1,Oct/20/202412:05,02:00,1365
2024,Codeforces Round 980 (Div. 2),Div. 2,Oct/20/202412:05,02:00,22079
2030,Codeforces Round 979 (Div. 2),Div. 2,Oct/19/202417:05,02:15,34663
2025,Educational Codeforces Round 170 (Rated for Div. 2),Rated for Div. 2,Oct/14/202417:35,02:00,30032
2022,Codeforces Round 978 (Div. 2),Div. 2,Oct/13/202422:35,02:00,26493
2021,"Codeforces Round 977 (Div. 2, based on COMPFEST 16 - Final Round)","Div. 2, based on COMPFEST 16 - Final Round",Oct/06/202409:05,02:00,28835
2011,Kotlin Heroes: Episode 11,,Sep/30/202417:35,02:30,12423
2020,Codeforces Round 976 (Div. 2) and Divide By Zero 9.0,Div. 2,Sep/29/202418:35,02:00,30636
2018,Codeforces Round 975 (Div. 1),Div. 1,Sep/27/202416:35,02:30,1668
2019,Codeforces Round 975 (Div. 2),Div. 2,Sep/27/202416:35,02:30,25474
2013,Codeforces Round 973 (Div. 2),Div. 2,Sep/20/202417:35,02:00,33799
2012,Kotlin Heroes: Practice 11,,Sep/17/202417:35,13:00:00,9276
2017,2024 ICPC World Finals: JetBrains Tech Trek,,Sep/17/202407:47,00:43,1
2005,Codeforces Round 972 (Div. 2),Div. 2,Sep/14/202417:35,02:00,34260
2006,Codeforces Round 969 (Div. 1),Div. 1,Aug/30/202417:35,02:30,1496
2007,Codeforces Round 969 (Div. 2),Div. 2,Aug/30/202417:35,02:30,28655
2003,Codeforces Round 968 (Div. 2),Div. 2,Aug/25/202417:35,02:00,38042
2001,Codeforces Round 967 (Div. 2),Div. 2,Aug/20/202417:35,02:00,38688
2004,Educational Codeforces Round 169 (Rated for Div. 2),Rated for Div. 2,Aug/15/202417:35,02:00,34832
2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2),Div. 1 + Div. 2,Aug/11/202417:35,03:00,25259
1998,Codeforces Round 965 (Div. 2),Div. 2,Aug/10/202417:35,02:00,40031
1993,Codeforces Round 963 (Div. 2),Div. 2,Aug/04/202417:35,02:00,37806
1997,Educational Codeforces Round 168 (Rated for Div. 2),Rated for Div. 2,Jul/30/202417:35,02:00,33748
1991,Pinely Round 4 (Div. 1 + Div. 2),Div. 1 + Div. 2,Jul/28/202417:35,03:00,25712
1995,Codeforces Round 961 (Div. 2),Div. 2,Jul/23/202417:35,02:00,30009
1990,Codeforces Round 960 (Div. 2),Div. 2,Jul/20/202417:35,02:00,29072
1994,Codeforces Round 959 sponsored by NEAR (Div. 1 + Div. 2),Div. 1 + Div. 2,Jul/18/202417:35,02:00,26119
1988,Codeforces Round 958 (Div. 2),Div. 2,Jul/15/202417:35,02:00,35197
1983,Codeforces Round 956 (Div. 2) and ByteRace 2024,Div. 2,Jul/07/202417:35,02:15,35764
1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),Div. 1 + Div. 2,Jun/30/202417:35,03:00,23837
1989,Educational Codeforces Round 167 (Rated for Div. 2),Rated for Div. 2,Jun/27/202417:35,02:00,32342
1982,"Codeforces Round 955 (Div. 2, with prizes from NEAR!)","Div. 2, with prizes from NEAR!",Jun/25/202417:35,02:00,31453
1978,Codeforces Round 953 (Div. 2),Div. 2,Jun/16/202412:05,02:00,33385
1984,Codeforces Global Round 26,,Jun/09/202417:35,03:00,26781
1979,Codeforces Round 951 (Div. 2),Div. 2,Jun/06/202417:35,02:00,36260
1981,Codeforces Round 949 (Div. 2),Div. 2,May/31/202413:05,02:00,29048
1976,Educational Codeforces Round 166 (Rated for Div. 2),Rated for Div. 2,May/30/202417:35,02:00,32761
1977,Codeforces Round 948 (Div. 2),Div. 2,May/26/202417:35,02:00,29229
1975,Codeforces Round 947 (Div. 1 + Div. 2),Div. 1 + Div. 2,May/25/202417:35,03:00,26926
1973,Codeforces Round 945 (Div. 2),Div. 2,May/17/202417:35,02:00,32694
1958,Kotlin Heroes: Episode 10,,May/13/202417:35,02:30,9040
1959,Kotlin Heroes: Practice 10,,May/07/202418:35,5:22:00,6835
1953,2023 Post World Finals Online ICPC Challenge powered by Huawei,,May/06/202418:00,17:01:00,17696
1967,Codeforces Round 942 (Div. 1),Div. 1,Apr/30/202417:35,02:30,1426
1972,Codeforces Round 942 (Div. 2),Div. 2,Apr/30/202417:35,02:30,18800
1969,Educational Codeforces Round 165 (Rated for Div. 2),Rated for Div. 2,Apr/29/202417:35,02:00,23168
1965,Codeforces Round 941 (Div. 1),Div. 1,Apr/27/202417:35,02:00,1581
1966,Codeforces Round 941 (Div. 2),Div. 2,Apr/27/202417:35,02:00,22869
1957,Codeforces Round 940 (Div. 2) and CodeCraft-23,Div. 2,Apr/21/202417:35,02:15,26432
1956,Codeforces Round 939 (Div. 2),Div. 2,Apr/13/202417:35,02:00,25017
1954,Educational Codeforces Round 164 (Rated for Div. 2),Rated for Div. 2,Apr/12/202417:35,02:00,30180
1951,Codeforces Global Round 25,,Apr/06/202417:35,03:00,25689
1952,April Fools Day Contest 2024,,Apr/01/202417:35,02:00,26791
1942,"CodeTON Round 8 (Div. 1 + Div. 2, Rated, Prizes!)","Div. 1 + Div. 2, Rated, Prizes!",Mar/30/202417:35,03:00,25844
1946,Codeforces Round 936 (Div. 2),Div. 2,Mar/22/202417:35,02:00,32508
1943,Codeforces Round 934 (Div. 1),Div. 1,Mar/16/202417:35,02:25,1494
1944,Codeforces Round 934 (Div. 2),Div. 2,Mar/16/202417:35,02:25,25593
1948,Educational Codeforces Round 163 (Rated for Div. 2),Rated for Div. 2,Mar/15/202417:35,02:00,31907
1935,Codeforces Round 932 (Div. 2),Div. 2,Mar/05/202417:35,02:00,33935
1934,Codeforces Round 931 (Div. 2),Div. 2,Mar/01/202417:35,02:00,28241
1936,Codeforces Round 930 (Div. 1),Div. 1,Feb/29/202417:35,02:00,1328
1937,Codeforces Round 930 (Div. 2),Div. 2,Feb/29/202417:35,02:00,28543
1923,Educational Codeforces Round 162 (Rated for Div. 2),Rated for Div. 2,Feb/23/202417:35,02:00,32097
1930,think-cell Round 1,,Feb/17/202417:35,03:00,22579
1929,Codeforces Round 926 (Div. 2),Div. 2,Feb/15/202417:35,02:00,30761
1928,Codeforces Round 924 (Div. 2),Div. 2,Feb/11/202412:35,02:00,28387
1918,Codeforces Round 922 (Div. 2),Div. 2,Jan/30/202417:35,02:10,33568
1924,Codeforces Round 921 (Div. 1),Div. 1,Jan/27/202417:45,02:00,1436
1925,Codeforces Round 921 (Div. 2),Div. 2,Jan/27/202417:45,02:00,33046
1922,Educational Codeforces Round 161 (Rated for Div. 2),Rated for Div. 2,Jan/18/202417:35,02:00,34856
1920,Codeforces Round 919 (Div. 2),Div. 2,Jan/13/202417:35,02:00,32965
1919,Hello 2024,,Jan/06/202417:35,02:30,35129
1916,Good Bye 2023,,Dec/30/202317:50,02:00,34230
1917,Codeforces Round 917 (Div. 2),Div. 2,Dec/24/202317:35,02:00,23193
1909,Pinely Round 3 (Div. 1 + Div. 2),Div. 1 + Div. 2,Dec/23/202317:35,03:00,22143
1913,Educational Codeforces Round 160 (Rated for Div. 2),Rated for Div. 2,Dec/18/202317:35,02:00,26121
1905,Codeforces Round 915 (Div. 2),Div. 2,Dec/16/202317:35,02:00,25804
1904,Codeforces Round 914 (Div. 2),Div. 2,Dec/09/202319:05,02:00,21721
1902,Educational Codeforces Round 159 (Rated for Div. 2),Rated for Div. 2,Dec/03/202317:35,02:00,21196
1903,Codeforces Round 912 (Div. 2),Div. 2,Nov/30/202319:35,02:15,22604
1900,Codeforces Round 911 (Div. 2),Div. 2,Nov/26/202317:35,02:00,17820
1896,"CodeTON Round 7 (Div. 1 + Div. 2, Rated, Prizes!)","Div. 1 + Div. 2, Rated, Prizes!",Nov/25/202317:50,02:30,18294
1901,Educational Codeforces Round 158 (Rated for Div. 2),Rated for Div. 2,Nov/24/202317:35,02:00,20408
1885,ICPC 2023 Online Challenge powered by Huawei,,Nov/20/202310:00,14:00:00,27528
1898,Codeforces Round 910 (Div. 2),Div. 2,Nov/19/202317:35,02:00,18532
1893,Codeforces Round 908 (Div. 1),Div. 1,Nov/07/202317:35,02:00,1480
1894,Codeforces Round 908 (Div. 2),Div. 2,Nov/07/202317:35,02:00,23766
1895,Educational Codeforces Round 157 (Rated for Div. 2),Rated for Div. 2,Nov/03/202317:35,02:00,26155
1891,Codeforces Round 907 (Div. 2),Div. 2,Oct/30/202317:35,02:00,23195
1889,Codeforces Round 906 (Div. 1),Div. 1,Oct/28/202317:35,02:30,1398
1890,Codeforces Round 906 (Div. 2),Div. 2,Oct/28/202317:35,02:30,23676
1887,Codeforces Round 905 (Div. 1),Div. 1,Oct/22/202314:05,02:00,892
1888,Codeforces Round 905 (Div. 2),Div. 2,Oct/22/202314:05,02:00,2743
1884,Codeforces Round 904 (Div. 2),Div. 2,Oct/22/202310:05,02:00,19984
1886,Educational Codeforces Round 156 (Rated for Div. 2),Rated for Div. 2,Oct/09/202317:35,02:00,27283
1876,"Codeforces Round 902 (Div. 1, based on COMPFEST 15 - Final Round)","Div. 1, based on COMPFEST 15 - Final Round",Oct/08/202312:05,02:30,1425
1877,"Codeforces Round 902 (Div. 2, based on COMPFEST 15 - Final Round)","Div. 2, based on COMPFEST 15 - Final Round",Oct/08/202312:05,02:30,21019
1874,Codeforces Round 901 (Div. 1),Div. 1,Sep/30/202317:35,03:00,1542
1875,Codeforces Round 901 (Div. 2),Div. 2,Sep/30/202317:35,03:00,27963
1882,Codeforces Round 899 (Div. 2),Div. 2,Sep/25/202317:35,02:00,25532
1879,Educational Codeforces Round 155 (Rated for Div. 2),Rated for Div. 2,Sep/24/202317:35,02:00,30073
1870,"CodeTON Round 6 (Div. 1 + Div. 2, Rated, Prizes!)","Div. 1 + Div. 2, Rated, Prizes!",Sep/18/202317:35,02:15,25664
1867,Codeforces Round 897 (Div. 2),Div. 2,Sep/11/202317:35,02:00,23226
1868,Codeforces Round 896 (Div. 1),Div. 1,Sep/10/202317:05,02:30,1427
1869,Codeforces Round 896 (Div. 2),Div. 2,Sep/10/202317:05,02:30,26477
1861,Educational Codeforces Round 154 (Rated for Div. 2),Rated for Div. 2,Aug/31/202317:35,02:00,28276
1863,Pinely Round 2 (Div. 1 + Div. 2),Div. 1 + Div. 2,Aug/30/202317:35,03:00,25041
1864,Harbour.Space Scholarship Contest 2023-2024 (Div. 1 + Div. 2),Div. 1 + Div. 2,Aug/26/202317:35,03:00,26056
1860,Educational Codeforces Round 153 (Rated for Div. 2),Rated for Div. 2,Aug/17/202317:35,02:00,32523
1858,Codeforces Round 893 (Div. 2),Div. 2,Aug/15/202317:35,02:00,30385
1859,Codeforces Round 892 (Div. 2),Div. 2,Aug/12/202317:35,02:00,30919
1856,Codeforces Round 890 (Div. 2) supported by Constructor Institute,Div. 2,Aug/05/202317:35,02:00,27822
1854,Codeforces Round 889 (Div. 1),Div. 1,Jul/29/202317:35,02:30,1409
1855,Codeforces Round 889 (Div. 2),Div. 2,Jul/29/202317:35,02:30,26261
1849,Educational Codeforces Round 152 (Rated for Div. 2),Rated for Div. 2,Jul/27/202317:35,02:00,29303
1852,Codeforces Round 887 (Div. 1),Div. 1,Jul/23/202317:35,02:30,1319
1853,Codeforces Round 887 (Div. 2),Div. 2,Jul/23/202317:35,02:30,25261
1848,Codeforces Round 885 (Div. 2),Div. 2,Jul/16/202317:35,02:00,25891
1844,Codeforces Round 884 (Div. 1 + Div. 2),Div. 1 + Div. 2,Jul/11/202317:35,03:00,29281
1847,Codeforces Round 882 (Div. 2),Div. 2,Jul/06/202317:35,02:15,27373
1845,Educational Codeforces Round 151 (Rated for Div. 2),Rated for Div. 2,Jun/29/202317:35,02:00,27847
1842,"CodeTON Round 5 (Div. 1 + Div. 2, Rated, Prizes!)","Div. 1 + Div. 2, Rated, Prizes!",Jun/24/202317:05,03:00,26372
1835,Codeforces Round 880 (Div. 1),Div. 1,Jun/18/202317:35,02:00,1245
1836,Codeforces Round 880 (Div. 2),Div. 2,Jun/18/202317:35,02:00,21917
1834,Codeforces Round 879 (Div. 2),Div. 2,Jun/18/202311:05,02:00,20335
1841,Educational Codeforces Round 150 (Rated for Div. 2),Rated for Div. 2,Jun/12/202317:35,02:00,26443
1838,Codeforces Round 877 (Div. 2),Div. 2,Jun/04/202317:45,02:00,31174
1839,Codeforces Round 876 (Div. 2),Div. 2,Jun/03/202317:35,02:00,24780
