ProblemID,TAG
2.02E+06,data structures
2.02E+06,dfs and similar
2.02E+06,dp
2.02E+06,dsu
2.02E+06,graphs
2.02E+06,greedy
2.02E+06,math
2.02E+06,trees
2.02E+05,data structures
2.02E+05,dp
2.02E+05,dsu
2.02E+05,graphs
2.02E+05,math
2.02E+05,trees 
2.02E+04,brute force
2.02E+04,data structures
2.02E+04,dfs and similar
2.02E+04,dp
2.02E+04,dsu
2.02E+04,fft
2.02E+04,graphs
2.02E+04,greedy
2.02E+04,implementation
2.02E+04,math
2.02E+04,trees 
2021D,dp
2021D,greedy
2021D,implementation 
2021C2,constructive algorithms
2021C2,data structures
2021C2,greedy
2021C2,implementation
2021C2,sortings 
2021C1,constructive algorithms
2021C1,greedy 
2021B,brute force
2021B,greedy
2021B,math
2021B,number theory 
2021A,data structures
2021A,greedy
2021A,math
2021A,sortings 
2020F,dp
2020F,math
2020F,number theory 
2020E,bitmasks
2020E,dp
2020E,math
2020E,probabilities 
2020D,brute force
2020D,dp
2020D,dsu
2020D,graphs
2020D,math
2020D,trees 
2020C,bitmasks
2020C,hashing
2020C,implementation
2020C,math
2020C,schedules
2020C,ternary search 
2020B,binary search
2020B,math 
2020A,bitmasks
2020A,brute force
2020A,greedy
2020A,math
2020A,number theory 
2019B,implementation
2019B,math 
2019A,brute force
2019A,dp
2019A,greedy 
2018F3,dp
2018F3,greedy
2018F3,math 
2018F2,dp
2018F2,greedy
2018F2,math 
2018F1,combinatorics
2018F1,dp
2018F1,greedy
2018F1,math 
2.02E+05,binary search
2.02E+05,data structures
2.02E+05,divide and conquer
2.02E+05,dsu
2.02E+05,greedy
2.02E+05,math
2.02E+05,sortings 
2.02E+04,binary search
2.02E+04,data structures
2.02E+04,divide and conquer
2.02E+04,dsu
2.02E+04,greedy
2.02E+04,math
2.02E+04,sortings 
2018D,data structures
2018D,dp
2018D,dsu
2018D,greedy
2018D,implementation
2018D,matrices
2018D,sortings 
2018C,brute force
2018C,dfs and similar
2018C,greedy
2018C,sortings
2018C,trees 
2018B,binary search
2018B,data structures
2018B,dp
2018B,greedy
2018B,implementation
2018B,two pointers 
2018A,2-sat
2018A,brute force
2018A,greedy
2018A,implementation
2018A,math 
2014H,data structures
2014H,divide and conquer
2014H,greedy
2014H,hashing 
2014G,brute force
2014G,data structures
2014G,greedy
2014G,implementation 
2014F,dfs and similar
2014F,dp
2014F,greedy
2014F,trees 
2014E,dfs and similar
2014E,graphs
2014E,shortest paths 
2014D,brute force
2014D,data structures
2014D,greedy
2014D,sortings 
2014C,binary search
2014C,greedy
2014C,math 
2014B,math 
2014A,greedy
2014A,implementation 
2013F2,binary search
2013F2,data structures
2013F2,trees 
2013F1,binary search
2013F1,brute force
2013F1,data structures
2013F1,dp
2013F1,games
2013F1,greedy
2013F1,implementation
2013F1,trees 
2013E,brute force
2013E,dp
2013E,greedy
2013E,math
2013E,number theory 
2013D,binary search
2013D,greedy 
2013C,constructive algorithms
2013C,interactive
2013C,strings 
2013B,constructive algorithms
2013B,greedy
2013B,math 
2013A,constructive algorithms
2013A,math 
2011I,*special problem
2011I,data structures
2011I,divide and conquer 
2011H,*special problem
2011H,graphs
2011H,greedy 
2011G,*special problem 
2011F,*special problem
2011F,data structures
2011F,greedy 
2011E,*special problem
2011E,greedy
2011E,strings 
2011D,*special problem 
2011C,*special problem 
2011B,*special problem 
2011A,*special problem 
2010C2,hashing
2010C2,string suffix structures
2010C2,strings
2010C2,two pointers 
2010C1,brute force
2010C1,strings 
2010B,brute force
2010B,implementation
2010B,math 
2010A,brute force
2010A,implementation
2010A,math 
2009G3,data structures
2009G3,dp
2009G3,implementation 
2009G2,binary search
2009G2,data structures
2009G2,dp 
2009G1,binary search
2009G1,data structures
2009G1,two pointers 
2009F,bitmasks
2009F,data structures
2009F,flows
2009F,math 
2009E,binary search
2009E,math
2009E,ternary search 
2009D,geometry
2009D,math 
2009C,implementation
2009C,math 
2009B,brute force
2009B,implementation 
2009A,brute force
2009A,math 
2008H,binary search
2008H,brute force
2008H,greedy
2008H,math
2008H,number theory 
2008G,binary search
2008G,greedy
2008G,math
2008G,number theory 
2008F,combinatorics
2008F,math
2008F,number theory 
2008E,brute force
2008E,data structures
2008E,dp
2008E,greedy
2008E,implementation
2008E,strings 
2008D,dp
2008D,dsu
2008D,graphs
2008D,math 
2008C,binary search
2008C,brute force
2008C,math 
2008B,brute force
2008B,math
2008B,strings 
2008A,brute force
2008A,constructive algorithms
2008A,greedy
2008A,math 
2007C,math
2007C,number theory 
2007B,data structures
2007B,greedy 
2007A,greedy
2007A,math
2007A,number theory 
2006F,brute force
2006F,combinatorics
2006F,constructive algorithms
2006F,graphs
2006F,implementation 
2006E,brute force
2006E,data structures
2006E,dfs and similar
2006E,trees 
2006D,data structures
2006D,greedy
2006D,implementation
2006D,math 
2006C,data structures
2006C,divide and conquer
2006C,math
2006C,number theory
2006C,two pointers 
2006B,brute force
2006B,data structures
2006B,dfs and similar
2006B,dsu
2006B,math
2006B,trees 
2006A,constructive algorithms
2006A,dfs and similar
2006A,games
2006A,graphs
2006A,greedy
2006A,trees 
2.01E+05,data structures
2.01E+05,dp
2.01E+05,games
2.01E+05,greedy
2.01E+05,implementation 
2.01E+04,dp
2.01E+04,games
2.01E+04,greedy
2.01E+04,implementation 
2005D,binary search
2005D,brute force
2005D,data structures
2005D,divide and conquer
2005D,implementation
2005D,number theory 
2005C,dp
2005C,implementation
2005C,strings 
2005B2,binary search
2005B2,greedy
2005B2,math
2005B2,sortings 
2005B1,greedy
2005B1,math
2005B1,sortings 
2005A,combinatorics
2005A,constructive algorithms
2005A,greedy
2005A,math 
2004G,data structures
2004G,dp
2004G,matrices 
2004F,binary search
2004F,brute force
2004F,data structures
2004F,greedy
2004F,math 
2004E,brute force
2004E,games
2004E,math
2004E,number theory 
2004D,binary search
2004D,brute force
2004D,data structures
2004D,graphs
2004D,greedy
2004D,implementation
2004D,shortest paths 
2004C,games
2004C,greedy
2004C,sortings 
2004B,brute force
2004B,greedy 
2004A,implementation
2004A,math 
2003F,brute force
2003F,data structures
2003F,dp
2003F,greedy
2003F,math
2003F,probabilities
2003F,two pointers 
2.00E+05,brute force
2.00E+05,data structures
2.00E+05,divide and conquer
2.00E+05,dp
2.00E+05,greedy
2.00E+05,math
2.00E+05,two pointers 
2.00E+04,brute force
2.00E+04,divide and conquer
2.00E+04,dp
2.00E+04,greedy
2.00E+04,math 
2003D2,dfs and similar
2003D2,dp
2003D2,graphs
2003D2,greedy
2003D2,implementation
2003D2,math 
2003D1,greedy
2003D1,math 
2003C,constructive algorithms
2003C,greedy
2003C,sortings
2003C,strings 
2003B,games
2003B,greedy
2003B,sortings 
